Id,SalePrice
1461,105027.85916668268
1462,123681.30105190902
1463,178767.92168737628
1464,194161.53431976278
1465,206225.28777021045
1466,177981.9360375121
1467,179348.28868950505
1468,175306.88837731874
1469,181974.6607737511
1470,119589.6320687002
1471,152850.05305630356
1472,92533.79752067929
1473,94743.01095654344
1474,149159.42080463914
1475,123625.61561955273
1476,401107.89017274464
1477,230748.52588408912
1478,356369.4483561304
1479,301289.62753514136
1480,511135.28374549514
1481,309119.33581698884
1482,215908.29419292416
1483,185159.42588937987
1484,163313.47575137074
1485,170107.4671870658
1486,189053.58145748652
1487,325244.2245465292
1488,262591.8517802996
1489,183499.39769390225
1490,200930.31106937703
1491,197314.06905558985
1492,80898.64746605104
1493,185200.89403565467
1494,295639.06508430646
1495,286809.0533276236
1496,220499.7797235288
1497,158831.02459533303
1498,156264.2807828656
1499,149261.52178604747
1500,171222.107897855
1501,183714.31901642878
1502,151120.88541376538
1503,278006.15827569546
1504,206032.42995960912
1505,182504.86002358433
1506,148360.64044233624
1507,238952.40577706203
1508,180771.3505593384
1509,151565.1653154783
1510,129036.79139165551
1511,140302.42062756955
1512,162359.42642821962
1513,130957.26503401686
1514,136277.08997494436
1515,189189.16563679723
1516,165606.51284371593
1517,156125.5884406436
1518,145241.61926613597
1519,222902.4175400913
1520,132237.56304773045
1521,110046.30666912283
1522,155870.36264389177
1523,126156.47352985926
1524,117071.5725454512
1525,129415.80793436134
1526,132831.00147996744
1527,124846.16053818077
1528,144711.37178090954
1529,134592.2839213159
1530,158723.53356423284
1531,159572.32576793246
1532,91926.33634687815
1533,124740.39181013058
1534,125104.44417305659
1535,128909.45592101231
1536,85043.80136180378
1537,105794.3780958723
1538,146121.9330821392
1539,177918.82900129756
1540,127913.5643165344
1541,136402.54375674058
1542,135907.62469746155
1543,183439.84318869264
1544,95459.88822699587
1545,80835.17321879399
1546,122850.77820759999
1547,140974.629464752
1548,83706.09074176833
1549,106890.60849969006
1550,135882.90527505573
1551,113958.98798078341
1552,136706.97746602044
1553,125880.16123022966
1554,118517.82830847528
1555,182400.40845952154
1556,117543.4594911234
1557,113863.60122381843
1558,115400.68729819391
1559,72809.37311277601
1560,132760.95656310162
1561,132836.98130255725
1562,126284.42483378106
1563,115720.47620074115
1564,153538.6757254253
1565,157743.98881087685
1566,234056.5038402602
1567,98468.33166033014
1568,204103.6248104467
1569,132970.19303100937
1570,143243.54903897157
1571,131778.58802679786
1572,143629.00937760298
1573,272954.616017581
1574,141286.70836095422
1575,264879.38873533293
1576,227668.40505949548
1577,197081.65251080194
1578,138349.2801410765
1579,146621.0178202722
1580,180503.51028198603
1581,139090.47585663167
1582,119023.59004181004
1583,259821.79159111693
1584,231365.5921935408
1585,135955.0925837433
1586,101993.19962411629
1587,107862.72900778332
1588,115143.66209726452
1589,107376.7897679516
1590,147014.6948275905
1591,102962.8621092958
1592,140131.34568478313
1593,144387.09310387197
1594,119959.68680830504
1595,110907.27166555559
1596,234875.57504875457
1597,156758.6234384758
1598,206243.93516380226
1599,147828.90112961354
1600,150915.5477361105
1601,72880.60162953385
1602,104719.37181362043
1603,65523.588024650344
1604,274663.2808180896
1605,238436.71489876436
1606,178592.1861777266
1607,158122.21166079544
1608,235794.49929405868
1609,183583.02527956272
1610,181104.6963935943
1611,160703.746614708
1612,190281.50618611192
1613,172555.6135847344
1614,110019.4805078741
1615,84914.32293617933
1616,86744.9964395083
1617,84171.74626514637
1618,126376.5263507031
1619,145151.67412181402
1620,179149.07135006285
1621,139819.1078990191
1622,133927.38586722247
1623,233988.26114923193
1624,198616.94047975758
1625,129581.13990445648
1626,173444.3384868563
1627,175018.16858223538
1628,265954.12663373334
1629,173563.08680334914
1630,289567.4154148951
1631,181670.7093412057
1632,232878.80666261588
1633,172194.28393808534
1634,179153.14032483767
1635,175032.89566698534
1636,173083.00700293249
1637,178375.07237430627
1638,196060.1698580314
1639,152671.92247666276
1640,226123.4090673954
1641,163121.6934979508
1642,236188.1091924377
1643,228706.13403821882
1644,210507.71437728358
1645,193636.9828402596
1646,137761.84941631477
1647,140325.04359589214
1648,138353.43448693905
1649,132373.67048757803
1650,122205.85470523624
1651,131521.77332392617
1652,92522.94622442032
1653,88668.47243546693
1654,147854.1067521933
1655,139141.20282147246
1656,146925.43097382676
1657,146490.38198277281
1658,145026.5889545753
1659,121509.69789058328
1660,150486.0786863002
1661,479525.5266399928
1662,333589.0190263153
1663,375056.427820189
1664,489191.09856912744
1665,352046.3413157508
1666,344208.4530091808
1667,315095.42713979445
1668,356946.60976602643
1669,313055.7495656261
1670,359970.7030813283
1671,277143.29977657914
1672,441760.7260964527
1673,284432.87029656046
1674,298159.182654732
1675,197702.26271559534
1676,202113.09190003315
1677,206479.3265333178
1678,453230.71582109545
1679,375441.860348735
1680,324834.54302363185
1681,305659.6780637227
1682,332781.94980041904
1683,189134.93273094582
1684,166990.07501922493
